name	ensembl	module	subsystem
TMED10	ENSG00000170348	Trafficking	Golgi to ER trafficking
FAM71B	ENSG00000170613	Trafficking	Trafficking regulation
HAS2	ENSG00000170961	Glycosylation	Golgi glycosylation
BCL2	ENSG00000171791	Capacity control	UPR
RAB33B	ENSG00000172007	Trafficking	Post-Golgi trafficking
EIF2AK3	ENSG00000172071	Capacity control	UPR
DPAGT1	ENSG00000172269	Glycosylation	Dolichol pathway
ALG14	ENSG00000172339	Glycosylation	Dolichol pathway
RAB40A	ENSG00000172476	Trafficking	Post-Golgi trafficking
RAB43	ENSG00000172780	Trafficking	Post-Golgi trafficking
RAB37	ENSG00000172794	Trafficking	Post-Golgi trafficking
GXYLT2	ENSG00000172986	Glycosylation	Golgi glycosylation
HSPA6	ENSG00000173110	Capacity control	ERAD
AGR3	ENSG00000173467	Folding	Protein folding
NET1	ENSG00000173848	Trafficking	Trafficking regulation
UBXN2A	ENSG00000173960	Capacity control	ERAD
PIGG	ENSG00000174227	Glycosylation	GPI biosynthesis
GALNTL6	ENSG00000174473	Glycosylation	Golgi glycosylation
SRP72	ENSG00000174780	Folding	Translocation
RAB1B	ENSG00000174903	Trafficking	Post-Golgi trafficking
ABO	ENSG00000175164	Glycosylation	Golgi glycosylation
DDIT3	ENSG00000175197	Capacity control	UPR
ARHGAP1	ENSG00000175220	Trafficking	Trafficking regulation
DOLK	ENSG00000175283	Glycosylation	Dolichol pathway
CLTB	ENSG00000175416	Trafficking	Post-Golgi trafficking
TBC1D10C	ENSG00000175463	Trafficking	Trafficking regulation
UBQLNL	ENSG00000175518	Capacity control	ERAD
UBQLN3	ENSG00000175520	Capacity control	ERAD
ALG10B	ENSG00000175548	Glycosylation	Dolichol pathway
RAB6A	ENSG00000175582	Trafficking	Post-Golgi trafficking
B3GNTL1	ENSG00000175711	Glycosylation	ER glycosylation
RUFY1	ENSG00000176783	Trafficking	Trafficking regulation
SEC24C	ENSG00000176986	Trafficking	ER to Golgi trafficking
MAN1B1	ENSG00000177239	Glycosylation	Golgi glycosylation
JUN	ENSG00000177606	Trafficking	Trafficking regulation
AP3S1	ENSG00000177879	Trafficking	Post-Golgi trafficking
BET1L	ENSG00000177951	Trafficking	ER to Golgi trafficking
GALNT11	ENSG00000178234	Glycosylation	Golgi glycosylation
ERN1	ENSG00000178607	Capacity control	UPR
STX19	ENSG00000178750	Trafficking	Post-Golgi trafficking
DPM3	ENSG00000179085	Glycosylation	ER glycosylation
CALR	ENSG00000179218	Folding	Protein folding
RAD23A	ENSG00000179262	Capacity control	ERAD
RAB39A	ENSG00000179331	Trafficking	Post-Golgi trafficking
EXOC3	ENSG00000180104	Trafficking	Post-Golgi trafficking
YOD1	ENSG00000180667	Capacity control	ERAD
SSR4	ENSG00000180879	Folding	Translocation
TRAPPC5	ENSG00000181029	Trafficking	ER to Golgi trafficking
MGAT4C	ENSG00000182050	Glycosylation	Golgi glycosylation
UBA7	ENSG00000182179	Capacity control	ERAD
UBE2E2	ENSG00000182247	Capacity control	ERAD
AP1S2	ENSG00000182287	Trafficking	Post-Golgi trafficking
TRAPPC6B	ENSG00000182400	Trafficking	ER to Golgi trafficking
NPLOC4	ENSG00000182446	Capacity control	ERAD
EXOC7	ENSG00000182473	Trafficking	Post-Golgi trafficking
ALG12	ENSG00000182858	Glycosylation	Dolichol pathway
GALNT9	ENSG00000182870	Glycosylation	Golgi glycosylation
SRPRA	ENSG00000182934	Folding	Translocation
A3GALT2	ENSG00000184389	Glycosylation	Golgi glycosylation
COPB2	ENSG00000184432	Trafficking	Golgi to ER trafficking
UBE2G2	ENSG00000184787	Capacity control	ERAD
AP3M1	ENSG00000185009	Trafficking	Post-Golgi trafficking
RAB11B	ENSG00000185236	Trafficking	Post-Golgi trafficking
PARK2	ENSG00000185345	Capacity control	ERAD
PDIA2	ENSG00000185615	Folding	Protein folding
P4HB	ENSG00000185624	Folding	Protein folding
ANKFY1	ENSG00000185722	Trafficking	Trafficking regulation
PIGP	ENSG00000185808	Glycosylation	GPI biosynthesis
BCAP31	ENSG00000185825	Capacity control	ERAD
ARAP1	ENSG00000186635	Trafficking	Trafficking regulation
UBQLN2	ENSG00000188021	Capacity control	ERAD
RAB42	ENSG00000188060	Trafficking	Post-Golgi trafficking
ALG1L	ENSG00000189366	Glycosylation	Dolichol pathway
PPIA	ENSG00000196262	Folding	Protein folding
TRAPPC2	ENSG00000196459	Trafficking	ER to Golgi trafficking
MAN2A2	ENSG00000196547	Glycosylation	Golgi glycosylation
TRAPPC4	ENSG00000196655	Trafficking	ER to Golgi trafficking
PGAP1	ENSG00000197121	Glycosylation	GPI biosynthesis
TBC1D9B	ENSG00000197226	Trafficking	Trafficking regulation
MAP3K5	ENSG00000197442	Capacity control	UPR
RAB40C	ENSG00000197562	Trafficking	Post-Golgi trafficking
PIGN	ENSG00000197563	Glycosylation	GPI biosynthesis
GPAA1	ENSG00000197858	Glycosylation	GPI biosynthesis
ERO1A	ENSG00000197930	Folding	Protein folding
MAN1A2	ENSG00000198162	Glycosylation	Golgi glycosylation
SVIP	ENSG00000198168	Capacity control	ERAD
UBE2J1	ENSG00000198833	Capacity control	ERAD
GLT6D1	ENSG00000204007	Glycosylation	Golgi glycosylation
INPP5B	ENSG00000204084	Trafficking	Trafficking regulation
RNF5	ENSG00000204308	Capacity control	ERAD
HSPA1B	ENSG00000204388	Capacity control	ERAD
HSPA1L	ENSG00000204390	Capacity control	ERAD
TBC1D8	ENSG00000204634	Trafficking	Trafficking regulation
RAB12	ENSG00000206418	Trafficking	Post-Golgi trafficking
TMX2	ENSG00000213593	Folding	Protein folding
NCKIPSD	ENSG00000213672	Trafficking	Trafficking regulation
ATF6B	ENSG00000213676	Capacity control	UPR
REPIN1	ENSG00000214022	Trafficking	Trafficking regulation
ALG3	ENSG00000214160	Glycosylation	ER glycosylation
VAMP2	ENSG00000220205	Trafficking	Post-Golgi trafficking
RAB6C	ENSG00000222014	Trafficking	Post-Golgi trafficking
TXNDC5	ENSG00000239264	Folding	Protein folding
ARFGAP3	ENSG00000242247	Trafficking	Trafficking regulation
DDOST	ENSG00000244038	Glycosylation	ER glycosylation
ALG1L2	ENSG00000251287	Glycosylation	Dolichol pathway
ALG11	ENSG00000253710	Glycosylation	Dolichol pathway
RAB44	ENSG00000255587	Trafficking	Post-Golgi trafficking
